epoch,step,train_accuracy,train_auc,train_f1,train_loss,train_precision,val_accuracy,val_auc,val_f1,val_loss,val_precision
18,8891,,,,,,0.9631999731063843,0.9946612119674683,0.9615706205368042,0.1066487729549408,0.9551867246627808
18,8891,0.986511766910553,0.9992482662200928,0.986640214920044,0.03396189585328102,0.9862488508224487,,,,,
19,9359,,,,,,0.9611999988555908,0.9947042465209961,0.95877605676651,0.11000264436006546,0.969072163105011
19,9359,0.9873130321502686,0.9992318153381348,0.9874172210693359,0.03414721414446831,0.9880715608596802,,,,,
20,9827,,,,,,0.9639999866485596,0.9946737289428711,0.9621848464012146,0.101927250623703,0.961376965045929
20,9827,0.9878472089767456,0.9993293881416321,0.9879661202430725,0.03230399265885353,0.9875743389129639,,,,,
21,10295,,,,,,0.9639999866485596,0.9944109916687012,0.961799681186676,0.10753465443849564,0.9708654880523682
21,10295,0.9897836446762085,0.9994620680809021,0.9898748993873596,0.028473688289523125,0.9898093938827515,,,,,
22,10763,,,,,,0.9679999947547913,0.9950140118598938,0.9663016200065613,0.10074574500322342,0.9679324626922607
22,10763,0.9893830418586731,0.9993635416030884,0.9894806742668152,0.030689872801303864,0.9899390935897827,,,,,
23,11231,,,,,,0.9664000272750854,0.9952719211578369,0.9649415612220764,0.10527898371219635,0.9577465057373047
23,11231,0.9897836446762085,0.9995789527893066,0.9898695349693298,0.02512594871222973,0.9904597997665405,,,,,
24,11699,,,,,,0.9643999934196472,0.9951949715614319,0.962557852268219,0.10285650938749313,0.9629629850387573
24,11699,0.9928552508354187,0.9996665120124817,0.9929227828979492,0.021231485530734062,0.9925945401191711,,,,,
25,12167,,,,,,0.9667999744415283,0.9944607019424438,0.9649936556816101,0.12329871952533722,0.9678511023521423
25,12167,0.9915197491645813,0.99965500831604,0.9915843605995178,0.022719204425811768,0.9929661750793457,,,,,
26,12635,,,,,,0.9688000082969666,0.9956086874008179,0.9667235612869263,0.11423451453447342,0.9809523820877075
26,12635,0.9931890964508057,0.9997664093971252,0.9932503700256348,0.018461689352989197,0.9932503700256348,,,,,
