epoch,step,train_accuracy,train_auc,train_f1,train_loss,train_precision,val_accuracy,val_auc,val_f1,val_loss,val_precision
0,467,,,,,,0.7892000079154968,0.879462718963623,0.775458037853241,0.436549574136734,0.7858376502990723
0,467,0.7353765964508057,0.8134880065917969,0.7403525114059448,0.5353540182113647,0.7332900762557983,,,,,
1,935,,,,,,0.8148000240325928,0.9018122553825378,0.8006887435913086,0.3994673192501068,0.820105791091919
1,935,0.8026175498962402,0.8870468139648438,0.8048844933509827,0.4238308072090149,0.8030821681022644,,,,,
2,1403,,,,,,0.8184000253677368,0.91234290599823,0.8233463168144226,0.4085918068885803,0.7661114931106567
2,1403,0.8227163553237915,0.9071220755577087,0.8249950408935547,0.3859621584415436,0.8221229910850525,,,,,
3,1871,,,,,,0.8352000117301941,0.9158880710601807,0.8280467391014099,0.37955278158187866,0.8218724131584167
3,1871,0.8350026607513428,0.9189977645874023,0.8373164534568787,0.3618449568748474,0.8329840302467346,,,,,
4,2339,,,,,,0.83160001039505,0.918624758720398,0.8193908333778381,0.3639511466026306,0.8362522125244141
4,2339,0.8496260643005371,0.9295074939727783,0.8514119982719421,0.3386492431163788,0.8489473462104797,,,,,
5,2807,,,,,,0.8452000021934509,0.9254140257835388,0.8415881991386414,0.3573474884033203,0.819776713848114
5,2807,0.8608440160751343,0.9383804798126221,0.8615466356277466,0.31784316897392273,0.8655720353126526,,,,,
6,3275,,,,,,0.8432000279426575,0.9284176826477051,0.823423445224762,0.3584790527820587,0.8865179419517517
6,3275,0.8669204115867615,0.9447787404060364,0.8677768111228943,0.29985693097114563,0.8702594637870789,,,,,
7,3743,,,,,,0.8435999751091003,0.9286974668502808,0.8416363000869751,0.34622031450271606,0.811718761920929
7,3743,0.8764690160751343,0.9484819173812866,0.8773046731948853,0.29132112860679626,0.8794043064117432,,,,,
8,4211,,,,,,0.8547999858856201,0.9337320923805237,0.8429251313209534,0.3424108624458313,0.8680927157402039
8,4211,0.8813434839248657,0.9540013074874878,0.8822789192199707,0.27509358525276184,0.8830393552780151,,,,,
9,4679,,,,,,0.8507999777793884,0.936638593673706,0.8454206585884094,0.32033437490463257,0.8333333134651184
9,4679,0.8851495981216431,0.9569205641746521,0.8862283229827881,0.26743343472480774,0.8861111402511597,,,,,
10,5147,,,,,,0.853600025177002,0.934217095375061,0.8414211273193359,0.33756768703460693,0.8677390813827515
10,5147,0.8940304517745972,0.9622214436531067,0.894865870475769,0.2494131326675415,0.8962314128875732,,,,,
11,5615,,,,,,0.8432000279426575,0.9266939163208008,0.8362573385238647,0.3675396144390106,0.8307054042816162
11,5615,0.8985042572021484,0.9663185477256775,0.89923095703125,0.23544354736804962,0.9015020728111267,,,,,
12,6083,,,,,,0.8560000061988831,0.9336647987365723,0.8448275923728943,0.3629608154296875,0.866489827632904
12,6083,0.9085202813148499,0.9702479839324951,0.9092955589294434,0.22145633399486542,0.9102597832679749,,,,,
13,6551,,,,,,0.8519999980926514,0.9297128915786743,0.8449287414550781,0.38000980019569397,0.8421052694320679
13,6551,0.9111244678497314,0.9725703001022339,0.9115555882453918,0.2128661721944809,0.9156320691108704,,,,,
14,7019,,,,,,0.8651999831199646,0.9399099946022034,0.8595247864723206,0.35345444083213806,0.8520660996437073
14,7019,0.9138621687889099,0.9739567041397095,0.9143540263175964,0.20716415345668793,0.918010950088501,,,,,
15,7487,,,,,,0.8592000007629395,0.9395046234130859,0.8484065532684326,0.3659452795982361,0.8693733215332031
15,7487,0.9246794581413269,0.9793595671653748,0.9251195192337036,0.18407952785491943,0.9284477233886719,,,,,
16,7955,,,,,,0.8416000008583069,0.9302101135253906,0.8359569311141968,0.3891220688819885,0.8236734867095947
16,7955,0.9294204115867615,0.9807579517364502,0.93001389503479,0.17763249576091766,0.9308151006698608,,,,,
17,8423,,,,,,0.8479999899864197,0.9357439279556274,0.8381601572036743,0.4010222852230072,0.849007785320282
17,8423,0.9335603713989258,0.9827984571456909,0.9342583417892456,0.16790394484996796,0.9332101345062256,,,,,
18,8891,,,,,,0.8691999912261963,0.9381753206253052,0.8594757318496704,0.3575010299682617,0.8787346482276917
18,8891,0.9374332427978516,0.9847173690795898,0.9379511475563049,0.1578809916973114,0.9386348724365234,,,,,
19,9359,,,,,,0.8547999858856201,0.937694787979126,0.8494400382041931,0.39978688955307007,0.8379705548286438
19,9359,0.9421741366386414,0.987267017364502,0.9427173137664795,0.14432626962661743,0.9425926208496094,,,,,
